Identifier,Responsible partner,"Version (optional)
","Competency Question /
 Natural language sentence (fact)",Answer (For Competency Questions),"Status (Proposed, Accepted, Rejected, Deprecated)",Comments (optional),Extracted from (provenance),"Priority 
(High, Medium, Low) (optional)",Relation with other requirements (optional),Associated ontology elements,Relation to ontology elements in other domains
INF1,UPM,v0.1.0,"¿Qué equipamientos se encuentran dentro de un determinado Municipio, Distrito o Barrio?",,Proposed,,,,,,
INF2,UPM,v0.1.0,"¿Cuál es la dirección postal exacta (calle, portal) de un equipamiento específico?",,Proposed,,,,,,
INF3,UPM,v0.1.0,"¿Qué tipo de equipamiento es una instalación concreta (ej. Biblioteca, Centro de Salud)?",,Proposed,,,,,,
INF4,UPM,v0.1.0,¿Qué servicios públicos específicos se prestan en un equipamiento concreto?,,Proposed,¿distinguir entre servicios públicos y privados o solo para equipamientos?,,,,,
INF5,UPM,v0.1.0,¿Qué organización es responsable de la gestión de un equipamiento específico?,,Proposed,¿Los elementos urbanos también tienen gestores?,,,,,
INF6,UPM,v0.1.0,¿Qué rol específico ejerce una organización sobre un equipamiento?,,Proposed,¿Prioridad baja?,,,,,
INF7,UPM,v0.1.0,¿Qué organizaciones privadas tienen un rol en infraestructuras públicas?,,Proposed,,,,,,
INF8,UPM,v0.1.0,¿Qué sensores de acceso están instalados en un equipamiento concreto?,,Proposed,,,,,,
INF9,UPM,v0.1.0, ¿Qué observaciones de acceso de vehículos se han registrado en un intervalo de tiempo determinado?,,Proposed,,,,,,
INF10,UPM,v0.1.0,¿Por qué acceso específico entró o salió un vehículo detectado por un sensor de un aparcamiento (fuera de vía)?,,Deprecated,Generalizada en INF45,,,,,
INF11,UPM,v0.1.0,¿Qué zonas del municipio están clasificadas como Zonas de Bajas Emisiones (ZBE)?,,Proposed,,,,,,ontoZonas
INF12,UPM,v0.1.0, ¿Cuáles son los estacionamientos disponibles y son en la vía pública o fuera de ella (parkings subterráneos/edificios)?,,Proposed,,,,,Pasado a requisitos de ontología de Aparcamientos,
INF13,UPM,v0.1.0,¿Qué tarifas se aplican a un estacionamiento determinado?,,Proposed,,,,,Pasado a requisitos de ontología de Aparcamientos,
INF14,UPM,v0.1.0,"Para un aparcamiento, ¿qué grupos de plazas existen y para qué tipo de vehículo están reservadas (ej. eléctricos, motos, PMR)?",,Proposed,,,,,Pasado a requisitos de ontología de Aparcamientos,
INF15,UPM,v0.1.0,"¿Qué tipo de permiso se requiere para aparcar en un grupo de plazas (ej. residentes, carga y descarga)?",,Proposed,,,,,Pasado a requisitos de ontología de Aparcamientos,
INF16,UPM,v0.1.0, ¿Cuáles son los estacionamientos disponibles en una zona administrativa concreta?,,Proposed,,,,,Pasado a requisitos de ontología de Aparcamientos,
INF17,UPM,v0.1.0,¿Qué sensores están instalados en un aparcamiento concreto?,,Proposed,Posibles variantes por tipo de sensor,,,,,
INF18,UPM,v0.1.0,¿Qué instalaciones son de un tipo concreto?,,Proposed,,,,,,
INF19,UPM,v0.1.0,¿Qué equipamientos prestan un servicio (público) concreto?,,Proposed,,,,,,
INF20,UPM,v0.1.0,¿Qué equipamientos ofrecen simultáneamente dos o más servicios (públicos)?,,Proposed,,,,,,
INF21,UPM,v0.1.0,¿En qué elementos de infraestructura tiene un rol una organización concreta?,,Proposed,,,,,,
INF22,UPM,v0.1.0,¿Cuántas observaciones de acceso de vehículos se han registrado por sensor en un intervalo de tiempo determinado?,,Proposed,,,,,,
INCLUIDAS TRAS ESTUDIAR DOCUMENTO DE CASOS DE USO,,,,,,,,,,,
INF23,UPM,v0.1.0,¿Qué observaciones se han producido en un punto de acceso concreto?,,Proposed,,,,,,
INF24,UPM,v0.1.0,¿Qué puntos de acceso tiene cada equipamiento por tipo de equipamiento?,,Proposed,¿añadir tipos de equipamiento privado?,,,,,
INF25,UPM,v0.1.0,¿Qué tipo de elemento de infraestructura corresponde a un elemento dado?,,Proposed,"¿Interesa el más cercano o todos? 
¿incluidos los jerárquicos?
¿en qué orden?",,,,,
INF26,UPM,v0.1.0,¿Cuál es la localización de un elemento de movilidad concreto?,,Proposed,¿geolocalización o dirección postal? ¿dos preguntas?,,,,,
INF27,UPM,v0.1.0,¿Cuál es la localización de un punto de acceso concreto?,,Proposed,,,,,,
INF28,UPM,v0.1.0,¿Cuál fue la fecha de instalación de un elemento urbano?,,Proposed,,,,,,
INF29,UPM,v0.1.0,¿Cuál es el horario de actividad de un equipamiento?,,Proposed,,,,,,
INF30,UPM,v0.1.0,¿Cuál es el sensor de un punto de acceso y sus observaciones durante un periodo determinado?,,Proposed,,,,,,
INF31,UPM,v0.1.0,¿En qué fecha y hora se registró un acceso determinado?,,Proposed,,,,,,
INF32,UPM,v0.1.0,¿Cuántos accesos corresponden a un punto de acceso ?,,Proposed,,,,,,
INF33,UPM,v0.1.0,¿En qué punto de acceso se produjo una infracción concreta?,,Proposed,,,,,,
INF34,UPM,v0.1.0,¿Qué acceso/observación apoya una infracción concreta?,,Proposed,,,,,,
INF35,UPM,v0.1.0,¿Qué infracciones (por tipo) han ocurrido en un punto concreto?,,Proposed,,,,,,
INF36,UPM,v0.1.0,¿Cuántas denuncias asociadas a infracciones de los distintos puntos han sido anuladas?,,Proposed,,,,,,
INF37,UPM,v0.1.0,¿Cuál es el nivel de ocupación registrado para un aparcamiento en una fecha y hora determinadas?,,Proposed,,,,,,
INF38,UPM,v0.1.0,¿Qué variación de ocupación presenta un aparcamiento según lecturas disponibles?,,Proposed,¿Para KPIs??,,,,,
INF39,UPM,v0.1.0,¿Cuántas plazas  y de qué tipo tiene un aparcamiento en calle específico?,,Rejected,,,,Pasado a requisitos de ontología de Aparcamientos,,
INF40,UPM,v0.1.0,¿Qué aparcamientos presentan un nivel de ocupación concreto (en un periodo)?,,Proposed,,,,,,
INF41,UPM,v0.1.0,¿Qué elementos de infraestructura por tipo tiene una división administrativa concreta?,,Proposed,"¿Interesa el más cercano o todos? 
¿incluidos los jerárquicos?
¿en qué orden?",,,,,
INF42,UPM,v0.1.0,¿A qué elementos de infraestructura está asociado un sensor de conteo?,,Proposed,,,,,,
INF43,UPM,v0.1.0,¿En qué divisiones administrativas hay menos de n elementos de infraestructura de un tipo concreto?,,Proposed,"Para determinar dónde pueden ser necesarios más.
Solo es posible responderla si se incluye ",,,,,
INF44,UPM,v0.1.0,¿Por qué puntos de acceso pasó un vehículo (durante un periodo de tiempo)?,,Proposed,¿Distinguir entre entrada y salida? ¿por puntos de acceso o por sentido de observación?,,,,,